0,1,2,3
Name,Year introduced,Year discontinued,Representation
Jollibee,1980[58],—,"Main franchise mascot and chef, Filipino dishes[60]"
Chickee,1983[58],Mid-1990s,Chickenjoy
Lady Moo,1983[58],Mid-1990s,Milkshakes
Mico,1983–1984[61],Mid-1990s,Breakfast and milkshakes
Champ,1984 (1st incarnation)[58]2020 (2nd incarnation),2004 (1st incarnation)present (2nd incarnation),Champ premium hamburger
Mr. Yum / Yum,circa 1980–1983 (as Mr. Yum)2008 (as Yum),2008 (as Mr. Yum)present (as Yum)[60],Burgers[60]
Twirlie,1988[citation needed],—,Sundaes[60]
Popo,circa 1980–1984[61],—,French fries[60]
Hetty,1984[58],—,Spaghetti[60]
